nome,amloc,foc
AESCryptoService.java,229,8
AbstractInputFormat.java,1906,12
AccumuloClient.java,265,8
AccumuloConfiguration.java,300,14
AccumuloFileOutputFormat.java,466,12
AccumuloFileOutputFormatIT.java,655,24
AccumuloITBase.java,136,9
AccumuloInputFormat.java,227,10
AccumuloInputFormatIT.java,1048,28
AccumuloMultiTableInputFormatIT.java,374,8
AccumuloOutputFormat.java,1476,14
AccumuloOutputFormatIT.java,598,21
AccumuloRecordReader.java,129,16
AccumuloReplicaSystem.java,1141,12
AccumuloRowInputFormat.java,215,10
AccumuloRowInputFormatIT.java,521,14
ActiveCompaction.java,292,8
Admin.java,501,24
AdminUtil.java,248,13
Ample.java,191,16
AuditMessageIT.java,173,11
BatchInputSplit.java,288,10
BulkFailureIT.java,247,10
BulkImport.java,505,27
BulkImporter.java,1050,19
BulkNewIT.java,140,9
ChangeSecret.java,127,10
ClassLoaderIT.java,181,10
CleanUp.java,120,10
CleanUpBulkImport.java,145,14
CleanUpIT.java,260,8
ClientContext.java,560,27
ClientServiceHandler.java,557,18
ClusterConfigParser.java,112,10
Combiner.java,129,11
CompactableImpl.java,583,19
CompactableUtils.java,273,12
CompactionCoordinator.java,551,32
CompactionExecutorsMetrics.java,168,9
CompactionIT.java,306,9
CompactionManager.java,220,9
CompactionService.java,113,9
Compactor.java,674,42
ConcurrentDeleteTableIT.java,210,8
ConditionalWriterIT.java,414,18
ConditionalWriterImpl.java,185,18
ConfigTransformer.java,1136,11
ConfigurableCompactionIT.java,237,8
CreateTableCommand.java,156,8
DatafileManager.java,537,22
DefaultCompactionPlanner.java,229,13
DefaultContextClassLoaderFactory.java,186,9
DistributedWorkQueueWorkAssigner.java,294,8
ECAdmin.java,233,8
ExternalCompactionMetricsIT.java,321,8
ExternalCompactionProgressIT.java,240,10
ExternalCompactionUtil.java,210,18
ExternalCompaction_1_IT.java,576,10
ExternalCompaction_3_IT.java,278,8
Fate.java,257,24
FateCommand.java,1039,18
FateConcurrencyIT.java,176,14
FateIT.java,586,14
FateMetrics.java,267,11
FateServiceHandler.java,387,18
FileCompactor.java,199,15
FileManager.java,246,11
FileOperations.java,134,8
FileSystemInitializer.java,303,9
FileUtil.java,481,12
GCRun.java,677,18
GarbageCollectWriteAheadLogs.java,168,12
GarbageCollectionAlgorithm.java,415,14
GarbageCollectorIT.java,141,16
Gatherer.java,235,16
GenerateSplits.java,511,8
HostRegexTableLoadBalancer.java,677,15
InMemoryMap.java,125,9
Initialize.java,1074,13
InputConfigurator.java,1589,8
InstanceOperations.java,247,12
InstanceOperationsImpl.java,246,24
KerberosIT.java,241,9
KerberosRenewalIT.java,168,11
KeywordStartIT.java,167,20
LargeSplitRowIT.java,296,9
LiveTServerSet.java,148,16
LoadFiles.java,338,25
LookupTask.java,218,13
Manager.java,601,41
ManagerApiIT.java,284,8
ManagerAssignmentIT.java,350,8
ManagerClient.java,157,10
ManagerClientService.java,10261,9
ManagerClientServiceHandler.java,452,21
ManagerMetadataUtil.java,249,14
ManagerReplicationCoordinator.java,130,8
MetadataSchema.java,119,9
MetadataTableUtil.java,182,15
MetricsIT.java,349,12
MetricsProducer.java,840,14
MiniAccumuloClusterControl.java,220,13
MiniAccumuloClusterImpl.java,920,28
MiniAccumuloConfigImpl.java,204,13
Monitor.java,280,24
MultiTserverReplicationIT.java,168,8
NamespaceConfiguration.java,165,8
NamespaceOperationsImpl.java,207,11
NamespacesIT.java,187,13
NullTserver.java,138,18
OfflineIterator.java,163,13
PermissionsIT.java,274,9
ProblemReports.java,161,9
PropStoreConfigIT.java,899,17
PropUtil.java,179,10
Property.java,944,45
RFile.java,233,8
RangeInputSplit.java,604,10
ReadWriteIT.java,157,17
ReplicationIT.java,1695,10
ReplicationMetrics.java,269,9
ScanDataSource.java,120,11
ScanServer.java,1299,19
Scanner.java,151,10
SecurityOperation.java,200,15
ServerAmpleImpl.java,255,11
ServerConfigurationFactory.java,478,16
ServerContext.java,320,29
ServiceLockIT.java,205,12
SessionManager.java,201,11
Shell.java,277,23
ShellIT.java,311,15
ShellServerIT.java,2132,43
SimpleGarbageCollector.java,686,28
SplitIT.java,139,9
SplitRecoveryIT.java,134,21
StoredTabletFile.java,133,10
SummaryIT.java,177,9
SystemPropUtil.java,174,8
TServerClient.java,218,8
TServerUtils.java,326,19
TableConfiguration.java,180,8
TableDiskUsage.java,245,9
TableManager.java,139,12
TableOperations.java,946,15
TableOperationsIT.java,154,13
TableOperationsImpl.java,783,35
Tablet.java,1380,45
TabletBalancer.java,359,9
TabletBase.java,577,8
TabletClientHandler.java,610,21
TabletFile.java,268,10
TabletGroupWatcher.java,309,17
TabletLocatorImpl.java,208,8
TabletMetadata.java,148,12
TabletServer.java,990,56
TabletServerBatchReaderIterator.java,397,18
TabletServerBatchWriter.java,237,17
TabletServerLocks.java,128,8
TabletServerLogger.java,207,11
TabletServerResourceManager.java,227,21
TabletsMetadata.java,246,14
ThreadPools.java,1191,21
ThriftClientHandler.java,133,10
ThriftClientTypes.java,385,11
ThriftProcessorTypes.java,404,8
ThriftScanClientHandler.java,718,9
ThriftScanner.java,477,19
ThriftTransportPool.java,608,12
ThriftUtil.java,233,13
TokenFileIT.java,608,19
TraceUtil.java,556,8
UnorderedWorkAssigner.java,248,8
UnorderedWorkAssignerReplicationIT.java,938,8
Upgrader9to10.java,1223,21
UserCompactionStrategyIT.java,395,8
Utils.java,121,10
VerifyTabletAssignments.java,123,16
VolumeManagerImpl.java,178,12
WebViews.java,257,12
ZKSecurityTool.java,176,9
ZombieTServer.java,140,17
ZooCache.java,113,10
ZooInfoViewer.java,840,8
ZooKeeperInitializer.java,297,11
ZooPropStore.java,725,15
ZooStore.java,211,18
ZooZap.java,134,12
