nome,amloc,foc
ClientHttpRequestFactories.java,142,7
ClusterSettings.java,55,9
ContextIndexSearcher.java,437,11
Coordinator.java,332,10
CountDistinctBooleanGroupingAggregatorFunction.java,238,7
CountDistinctBytesRefGroupingAggregatorFunction.java,238,7
CountDistinctDoubleGroupingAggregatorFunction.java,239,7
CountDistinctIntGroupingAggregatorFunction.java,239,7
CountDistinctLongGroupingAggregatorFunction.java,239,7
CountGroupingAggregatorFunction.java,226,9
CrossClusterAsyncSearchIT.java,1379,6
DataStreamLifecycle.java,143,6
DataStreamLifecycleUsageTransportActionIT.java,73,7
DiscoveryNode.java,179,6
DoubleArrayState.java,253,7
DownsampleAction.java,215,10
DownsampleStep.java,120,7
EnterpriseSearch.java,146,6
EsqlActionIT.java,133,7
EsqlFunctionRegistry.java,67,18
GroupingAggregator.java,51,6
GroupingAggregatorImplementer.java,543,9
HashAggregationOperator.java,120,7
IndexShard.java,308,10
IndexVersion.java,118,14
IntArrayState.java,252,7
KibanaOwnedReservedRoleDescriptors.java,396,8
LocalClusterFactory.java,830,7
LocalExecutionPlanner.java,156,9
LogicalPlanOptimizer.java,279,7
LongArrayState.java,303,7
MachineLearning.java,75,8
MainResponse.java,222,6
MaxDoubleGroupingAggregatorFunction.java,264,8
MaxIntGroupingAggregatorFunction.java,264,8
MaxLongGroupingAggregatorFunction.java,264,8
MedianAbsoluteDeviationDoubleGroupingAggregatorFunction.java,237,7
MedianAbsoluteDeviationIntGroupingAggregatorFunction.java,237,7
MedianAbsoluteDeviationLongGroupingAggregatorFunction.java,237,7
Metadata.java,195,9
MetadataCachingIndexInput.java,619,6
MinDoubleGroupingAggregatorFunction.java,264,8
MinIntGroupingAggregatorFunction.java,264,8
MinLongGroupingAggregatorFunction.java,278,8
MlAutoscalingResourceTracker.java,552,6
Node.java,131,12
PercentileDoubleGroupingAggregatorFunction.java,239,7
PercentileIntGroupingAggregatorFunction.java,239,7
PercentileLongGroupingAggregatorFunction.java,239,7
PlanNamedTypes.java,238,25
ProfilingIndexTemplateRegistry.java,171,7
QueryPhaseCollector.java,810,7
SampleApplication.java,141,6
SearchService.java,209,8
Security.java,60,8
SharedBlobCacheService.java,464,13
SumDoubleAggregator.java,335,6
SumDoubleGroupingAggregatorFunction.java,250,8
SumIntGroupingAggregatorFunction.java,272,8
SumLongGroupingAggregatorFunction.java,264,8
SynonymsManagementAPIService.java,305,9
TaskExecutorConfigurations.java,227,6
ThreadPool.java,118,7
TokenService.java,1243,8
TransportDownsampleAction.java,725,7
TransportLoadTrainedModelPackage.java,316,6
TransportSearchAction.java,230,8
TransportVersion.java,266,46
Trim.java,156,9
Types.java,72,7
Verifier.java,118,7
Version.java,466,11
X-ArrayState.java.st,338,7
module-info.java,82,21
package-info.java,104,10
