ProjectName,PackageName,TypeName,CodeSmell
guava,com.google.common.util.concurrent,AbstractFuture,Cyclic-Dependent Modularization
guava,com.google.common.collect,ArbitraryOrderingHolder,Cyclic-Dependent Modularization
guava,com.google.common.io,BaseEncoding,Cyclic-Dependent Modularization
guava,com.google.common.cache,CacheBuilder,Cyclic-Dependent Modularization
guava,com.google.common.cache,CacheBuilderSpec,Cyclic-Dependent Modularization
guava,com.google.common.reflect,ClassPath,Cyclic-Dependent Modularization
guava,com.google.common.util.concurrent,ClosingFuture,Cyclic-Dependent Modularization
guava,com.google.common.base,Converter,Cyclic-Dependent Modularization
guava,com.google.common.base,ConverterComposition,Cyclic-Dependent Modularization
guava,com.google.common.primitives,Doubles,Cyclic-Dependent Modularization
guava,com.google.common.collect,EmptyImmutableListMultimap,Cyclic-Dependent Modularization
guava,com.google.common.collect,EmptyImmutableSetMultimap,Cyclic-Dependent Modularization
guava,com.google.common.base,Equivalence,Cyclic-Dependent Modularization
guava,com.google.common.util.concurrent,ExecutionSequencer,Cyclic-Dependent Modularization
guava,com.google.common.primitives,Floats,Cyclic-Dependent Modularization
guava,com.google.common.util.concurrent,FuturesGetChecked,Cyclic-Dependent Modularization
guava,com.google.common.hash,Hashing,Cyclic-Dependent Modularization
guava,com.google.common.base,IdentityConverter,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableBiMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableCollection,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableList,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableListMultimap,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableMapEntrySet,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableMultimap,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableMultiset,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableRangeMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableRangeSet,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableSet,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableSetMultimap,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableSortedMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableSortedSet,Cyclic-Dependent Modularization
guava,com.google.common.collect,ImmutableTable,Cyclic-Dependent Modularization
guava,com.google.common.util.concurrent,InterruptibleTask,Cyclic-Dependent Modularization
guava,com.google.common.primitives,Ints,Cyclic-Dependent Modularization
guava,com.google.common.collect,Iterables,Cyclic-Dependent Modularization
guava,com.google.common.collect,Iterators,Cyclic-Dependent Modularization
guava,com.google.common.cache,LocalCache,Cyclic-Dependent Modularization
guava,com.google.common.math,LongMath,Cyclic-Dependent Modularization
guava,com.google.common.primitives,Longs,Cyclic-Dependent Modularization
guava,com.google.common.collect,MapMakerInternalMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,Maps,Hub-like Modularization
guava,com.google.common.collect,Maps,Cyclic-Dependent Modularization
guava,com.google.common.collect,Multisets,Cyclic-Dependent Modularization
guava,com.google.common.collect,NaturalOrdering,Cyclic-Dependent Modularization
guava,com.google.common.collect,Ordering,Cyclic-Dependent Modularization
guava,com.google.common.collect,Platform,Cyclic-Dependent Modularization
guava,com.google.common.base,Platform,Cyclic-Dependent Modularization
guava,com.google.common.collect,Range,Cyclic-Dependent Modularization
guava,com.google.common.collect,RangeLexOrdering,Cyclic-Dependent Modularization
guava,com.google.common.collect,RangeMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,RangeSet,Cyclic-Dependent Modularization
guava,com.google.common.collect,RegularImmutableBiMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,RegularImmutableMap,Cyclic-Dependent Modularization
guava,com.google.common.collect,RegularImmutableMultiset,Cyclic-Dependent Modularization
guava,com.google.common.collect,RegularImmutableSet,Cyclic-Dependent Modularization
guava,com.google.common.collect,RegularImmutableSortedSet,Cyclic-Dependent Modularization
guava,com.google.common.base,ReverseConverter,Cyclic-Dependent Modularization
guava,com.google.common.collect,ReverseNaturalOrdering,Cyclic-Dependent Modularization
guava,com.google.common.collect,Sets,Cyclic-Dependent Modularization
guava,com.google.common.collect,SortedIterables,Cyclic-Dependent Modularization
guava,com.google.common.collect,SortedLists,Cyclic-Dependent Modularization
guava,com.google.common.collect,SparseImmutableTable,Cyclic-Dependent Modularization
guava,com.google.common.io,StandardBaseEncoding,Cyclic-Dependent Modularization
guava,com.google.common.collect,Synchronized,Cyclic-Dependent Modularization
guava,com.google.common.collect,TreeRangeSet,Cyclic-Dependent Modularization
guava,com.google.common.reflect,TypeToken,Cyclic-Dependent Modularization
guava,com.google.common.reflect,Types,Cyclic-Dependent Modularization
guava,com.google.common.graph,ValueGraphBuilder,Cyclic-Dependent Modularization
guava,com.google.common.util.concurrent,WithExplicitOrdering,Cyclic-Dependent Modularization
