nome,amloc,foc
AbstractBiMap.java,306,16
AbstractExecutionThreadService.java,207,13
AbstractFuture.java,1038,55
AbstractIdleService.java,117,13
AbstractScheduledService.java,650,25
AggregateFuture.java,250,20
ArrayTable.java,376,18
BaseEncoding.java,469,24
BloomFilter.java,178,14
ByteStreams.java,298,26
CacheBuilder.java,678,55
CacheBuilderSpec.java,199,14
CacheLoader.java,104,14
CharStreams.java,152,18
ClassPath.java,1097,22
ClosingFuture.java,5374,29
CollectionFuture.java,174,20
CompactHashMap.java,858,18
ConcurrentHashMultiset.java,146,22
Converter.java,500,34
Doubles.java,187,18
ElementTypesAreNonnullByDefault.java,1394,47
Equivalence.java,353,16
EvictingQueue.java,118,14
ExecutionSequencer.java,1496,30
FileBackedOutputStream.java,148,17
Files.java,464,24
Floats.java,183,18
FluentIterable.java,314,22
Futures.java,759,46
HashBiMap.java,453,18
Hashing.java,348,22
Helpers.java,280,16
HttpHeaders.java,830,58
IgnoreJRERequirement.java,364,16
ImmutableBiMap.java,678,38
ImmutableCollection.java,140,20
ImmutableList.java,148,24
ImmutableListMultimap.java,132,23
ImmutableMap.java,1403,60
ImmutableMultimap.java,182,16
ImmutableMultiset.java,181,19
ImmutableRangeMap.java,104,19
ImmutableRangeSet.java,116,25
ImmutableSet.java,612,29
ImmutableSetMultimap.java,177,24
ImmutableSortedMap.java,953,51
ImmutableSortedSet.java,137,24
ImmutableTable.java,271,27
InetAddresses.java,511,24
InternetDomainName.java,308,20
InterruptibleTask.java,490,19
Ints.java,224,18
Iterables.java,404,18
Iterators.java,600,20
Java8Compatibility.java,288,16
JdkFutureAdapters.java,116,18
ListenableFuture.java,298,23
Lists.java,419,18
LocalCache.java,1410,45
LongMath.java,430,24
Longs.java,194,18
MapMakerInternalMap.java,1109,25
Maps.java,2731,50
MediaType.java,348,24
MinMaxPriorityQueue.java,240,18
MoreExecutors.java,427,32
MoreObjects.java,435,14
Multimaps.java,926,25
Multisets.java,379,20
NullnessCasts.java,416,15
Ordering.java,180,16
ParametricNullness.java,3390,103
Platform.java,558,55
PublicSuffixPatterns.java,448,67
Range.java,104,16
RegularImmutableMap.java,555,13
ServiceManager.java,165,27
Sets.java,743,38
SimpleTimeLimiter.java,142,14
Striped.java,204,14
Synchronized.java,1069,16
Throwables.java,198,18
Traverser.java,1220,14
TreeRangeSet.java,201,18
TypeToken.java,237,20
Types.java,133,14
Uninterruptibles.java,285,17
ValueGraphBuilder.java,130,20
package-info.java,1690,88
