commid_id,commit_message,critical_class_name_list,issue_id
91afe8b6e9e9f0a808261b72c8532841b871ba45,"move *Partitioner from cassandra.service to cassandra.dht.
patch by jbellis; reviewed by Jun Rao for CASSANDRA-65

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769013 13f79535-47bb-0310-9956-ffa450edef68",['StorageService.java'],CASSANDRA-65
63a748ccf9ab5192456baca9dd90b4c0cf2a2038,"r/m unused code
patch by jbellis; reviewed by Jun Rao for CASSANDRA-65

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769014 13f79535-47bb-0310-9956-ffa450edef68",['StorageService.java'],CASSANDRA-65
907d92e21b8ce79e6a224933764e3b7215a94454,"replace BigInteger tokens with BigIntegerToken and StringToken in RandomPartitioner and OrderPreservingPartitioner, respectively.  (OrderPreservingHashPartitioner is no more.)

Doing order preserving partitioning based on the raw string has a number of compelling advantages:
 - there is no key length that all tokens must be padded to (which can be expensive if there is a range of key lengths) and which cannot be increased after deployment
 - it allows user-defined collations [sorting] rather than being limited to sorting by code point value (which is useless in the unicode world, and not always what you want even for ascii keys)
 - it will work with all UTF-16 characters, not just the UCS-2 subset (this is a limitation of using as a base 2**16, i.e., assuming for your order preserving hash that all characters are two bytes).

patch by jbellis; reviewed by Jun Rao for CASSANDRA-65

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769016 13f79535-47bb-0310-9956-ffa450edef68","['ColumnFamilyStore.java', 'StorageService.java']",CASSANDRA-65
ec7f04b4df62b87231d9cacca754a209bd8fcc59,"r/m StorageService.token in favor of explicitly passing a Partitioner object.  this allows testing of components independent of the static SS.
patch by jbellis; reviewed by Jun Rao for CASSANDRA-65

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769017 13f79535-47bb-0310-9956-ffa450edef68","['ColumnFamilyStore.java', 'StorageService.java']",CASSANDRA-65
296e15b63cdb678a12db004e29359eaf8c14c6c5,"add test for ReplicaPlacementStrategy covering both Random and OrderPreserving partitioners
patch by jbellis; reviewed by Jun Rao for CASSANDRA-65

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769018 13f79535-47bb-0310-9956-ffa450edef68",['StorageService.java'],CASSANDRA-65
bfb2e952204f9879133826305b2b5dfda3e61776,"rename getDefaultToken -> getInitialToken
patch by jbellis; reviewed by Jun Rao for CASSANDRA-65

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769019 13f79535-47bb-0310-9956-ffa450edef68","['ColumnFamilyStore.java', 'StorageService.java']",CASSANDRA-65
d2a61c67b09ed70ee3e5dfc9bf15fb74a4876f56,"add SSTable tests.  in particular we want to be sure to test bloomfilter
[de]serialize since that's going to change a lot.
patch by jbellis; reviewed by Eric Evans for CASSANDRA-37

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769087 13f79535-47bb-0310-9956-ffa450edef68",['ColumnFamilyStore.java'],CASSANDRA-37
9db8da81b7f269e5a8a7f896b751d482847d7082,"Add range query support, which requires using an OrderPreservingPartitioner.  (Keys are returned in the order defined by the partitioner collation.)  The fundamental approach (in table.getKeyRange) is simple: create a CollatedIterator that will return unique keys from different sources, each of which is already sorted.  Then we just need Iterators for different key sources.  For SSTables, this means adding seekTo and an Iterator interface to FileStruct.  For Memtable, this means adding a DestructivePQIterator since unlike SSTable keys those are not inherently ordered already.  This means that we only do M log N work sorting the memtable keys where M is the number of keys we actually read, and N is the total number of keys, where a naive sort-everything-first iterator would be N log N.

This does not yet implement range queries spanning multiple nodes.

patch by jbellis; reviewed by Jun Rao for CASSANDRA-71

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@769874 13f79535-47bb-0310-9956-ffa450edef68","['DatabaseDescriptor.java', 'ColumnFamilyStore.java', 'StorageService.java']",CASSANDRA-71
f70a5a0c8cff203b17285494fbbd99176bbee649,"clean up anticompaction code a little.
patch by jbellis; reveiewed by Eric Evans for CASSANDRA-78

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@771339 13f79535-47bb-0310-9956-ffa450edef68",['ColumnFamilyStore.java'],CASSANDRA-78
fce0ee0d7b89576c7f49c2f24a90e8f26e10314a,"This changeset abstracts the logic for placing a flush on the queue into a new method, Memtable.enqueueFlush. enqueueFlush is called from both forceflush and put (when a threshold is exceeded), without the need to apply a special flushKey.  patch by Eric Evans; reviewed by jbellis for CASSANDRA-34

git-svn-id: https://svn.apache.org/repos/asf/incubator/cassandra/trunk@771926 13f79535-47bb-0310-9956-ffa450edef68",['ColumnFamilyStore.java'],CASSANDRA-34
