Project Name,Package Name,Type Name,Code Smell
kafka,kafka.metrics,KafkaYammerMetrics,Deficient Encapsulation
kafka,kafka.testkit,Builder,Unutilized Abstraction
kafka,kafka.testkit,Builder,Unutilized Abstraction
kafka,kafka.testkit,Builder,Unutilized Abstraction
kafka,kafka.testkit,TestKitNodes,Unexploited Encapsulation
kafka,kafka.testkit,TestKitNodes,Missing Hierarchy
kafka,kafka.testkit,Builder,Unutilized Abstraction
kafka,kafka.testkit,Builder,Unexploited Encapsulation
kafka,kafka.testkit,Builder,Missing Hierarchy
kafka,kafka.test,ClusterTestExtensionsTest,Unutilized Abstraction
kafka,kafka.test,MockController,Unutilized Abstraction
kafka,kafka.test,MockController,Insufficient Modularization
kafka,kafka.test,Builder,Unutilized Abstraction
kafka,kafka.test,ClusterConfig,Insufficient Modularization
kafka,kafka.test,Builder,Unutilized Abstraction
kafka,kafka.test,ClusterGenerator,Unnecessary Abstraction
kafka,kafka.test.junit,GenericParameterResolver,Unutilized Abstraction
kafka,kafka.test.junit,RaftClusterInvocationContext,Unutilized Abstraction
kafka,kafka.test.junit,RaftClusterInstance,Unutilized Abstraction
kafka,kafka.test.junit,ZkClusterInvocationContext,Unutilized Abstraction
kafka,kafka.test.junit,ZkClusterInvocationContext,Insufficient Modularization
kafka,kafka.test.junit,ZkClusterInstance,Unutilized Abstraction
kafka,kafka.test.junit,ClusterTestExtensions,Unutilized Abstraction
kafka,kafka.test.junit,EmptyClass,Unnecessary Abstraction
kafka,kafka.test.junit,ClusterInstanceParameterResolver,Unutilized Abstraction
kafka,org.apache.kafka.clients,InFlightRequests,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients,CommonClientConfigs,Deficient Encapsulation
kafka,org.apache.kafka.clients,ClusterConnectionStates,Insufficient Modularization
kafka,org.apache.kafka.clients,NetworkClient,Deficient Encapsulation
kafka,org.apache.kafka.clients,NetworkClient,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients,NetworkClient,Insufficient Modularization
kafka,org.apache.kafka.clients,DefaultMetadataUpdater,Unutilized Abstraction
kafka,org.apache.kafka.clients,DefaultMetadataUpdater,Deficient Encapsulation
kafka,org.apache.kafka.clients,InProgressData,Deficient Encapsulation
kafka,org.apache.kafka.clients,StaleMetadataException,Unutilized Abstraction
kafka,org.apache.kafka.clients,DefaultHostResolver,Unutilized Abstraction
kafka,org.apache.kafka.clients,FetchRequestData,Unutilized Abstraction
kafka,org.apache.kafka.clients,Builder,Unutilized Abstraction
kafka,org.apache.kafka.clients,GroupRebalanceConfig,Deficient Encapsulation
kafka,org.apache.kafka.clients,Metadata,Deficient Encapsulation
kafka,org.apache.kafka.clients,Metadata,Insufficient Modularization
kafka,org.apache.kafka.clients,MetadataRequestAndVersion,Unutilized Abstraction
kafka,org.apache.kafka.clients,MetadataRequestAndVersion,Deficient Encapsulation
kafka,org.apache.kafka.clients,LeaderAndEpoch,Deficient Encapsulation
kafka,org.apache.kafka.clients,ManualMetadataUpdater,Unutilized Abstraction
kafka,org.apache.kafka.clients,RequestCompletionHandler,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients,ClientResponse,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients.admin,DescribeConsumerGroupsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeConsumerGroupsOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,RemoveMembersFromConsumerGroupOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,RemoveMembersFromConsumerGroupOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,ListTransactionsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ListPartitionReassignmentsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeFeaturesOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,DescribeFeaturesOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,CreateDelegationTokenResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeLogDirsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterUserScramCredentialsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeAclsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,PartitionReassignment,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ListOffsetsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ListOffsetsOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,ListTopicsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeClusterOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ExpireDelegationTokenResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeTransactionsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ListTopicsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DeleteAclsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,FilterResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterConfigsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,UserScramCredentialDeletion,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,UserScramCredentialDeletion,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,DescribeClusterResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeTopicsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeDelegationTokenOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeDelegationTokenOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,AbortTransactionOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AbortTransactionOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,DescribeReplicaLogDirsOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,DescribeReplicaLogDirsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ListTransactionsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ListTransactionsOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,AlterReplicaLogDirsOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,AlterReplicaLogDirsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeConsumerGroupsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,KafkaAdminClient,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,KafkaAdminClient,Unexploited Encapsulation
kafka,org.apache.kafka.clients.admin,KafkaAdminClient,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,KafkaAdminClient,Missing Hierarchy
kafka,org.apache.kafka.clients.admin,KafkaAdminClient,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients.admin,KafkaAdminClient,Insufficient Modularization
kafka,org.apache.kafka.clients.admin,MetadataUpdateNodeIdProvider,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ConstantNodeIdProvider,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,ControllerNodeProvider,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,LeastLoadedNodeProvider,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,Call,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients.admin,TimeoutProcessor,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients.admin,AdminClientRunnable,Cyclic-Dependent Modularization
kafka,org.apache.kafka.clients.admin,DescribeClientQuotasOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,DescribeClientQuotasOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,UnregisterBrokerOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,UnregisterBrokerOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AbstractOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AbstractOptions,Wide Hierarchy
kafka,org.apache.kafka.clients.admin,ElectLeadersResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,RenewDelegationTokenOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,RenewDelegationTokenOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,AdminClient,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterConfigsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,UserScramCredentialAlteration,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterClientQuotasResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DeletedRecords,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterConsumerGroupOffsetsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AdminClientConfig,Deficient Encapsulation
kafka,org.apache.kafka.clients.admin,DescribeTopicsResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterClientQuotasOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterClientQuotasOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,UpdateFeaturesResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeProducersOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeProducersOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,CreateTopicsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,CreateDelegationTokenOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,CreateDelegationTokenOptions,Broken Hierarchy
kafka,org.apache.kafka.clients.admin,DescribeUserScramCredentialsOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,DescribeUserScramCredentialsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DeleteConsumerGroupsOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,DeleteConsumerGroupsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,AlterUserScramCredentialsOptions,Unnecessary Abstraction
kafka,org.apache.kafka.clients.admin,AlterUserScramCredentialsOptions,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeClientQuotasResult,Unutilized Abstraction
kafka,org.apache.kafka.clients.admin,DescribeTransactionsOptions,Unutilized Abstraction
